Date,Orthogonality
2023-07-07,0.3153294510799239
2023-07-10,0.3086506291968016
2023-07-11,0.2835324532852383
2023-07-12,0.2882208198762872
2023-07-13,0.2844720543290691
2023-07-14,0.28656205181043853
2023-07-17,0.28311982638398037
2023-07-18,0.28003460999089874
2023-07-19,0.28345242176005603
2023-07-20,0.29762688139366406
2023-07-21,0.2930387975087994
2023-07-24,0.28739784155546994
2023-07-25,0.2741477267955574
2023-07-26,0.26454245009416355
2023-07-27,0.2647731008561959
2023-07-28,0.26748075968452933
2023-07-31,0.2742080627409841
2023-08-01,0.2749585517447289
2023-08-02,0.2549335480606984
2023-08-03,0.26882230388494793
2023-08-04,0.28537426021266604
2023-08-07,0.2678264926375025
2023-08-08,0.25233542479508236
2023-08-09,0.25091430461587494
2023-08-10,0.2522607198284017
2023-08-11,0.24753658131104392
2023-08-14,0.23926979908274942
2023-08-15,0.22611344745259204
2023-08-16,0.23504283331492795
2023-08-17,0.20001931688625235
2023-08-18,0.19671615608218465
2023-08-21,0.18095127527650756
2023-08-22,0.18290365427982413
2023-08-23,0.15667555439355235
2023-08-24,0.17090441261686773
2023-08-25,0.16988355420763582
2023-08-28,0.1742993846850771
2023-08-29,0.17530874321831488
2023-08-30,0.18655250911507693
2023-08-31,0.18787802521767905
2023-09-01,0.19652936639928673
2023-09-05,0.18779429023909283
2023-09-06,0.1858713177301485
2023-09-07,0.18135489562513396
2023-09-08,0.17918747383703826
2023-09-11,0.14026931709358473
2023-09-12,0.09812127523250609
2023-09-13,0.11133871433336857
2023-09-14,0.07345322510742175
2023-09-15,0.06295212300070152
2023-09-18,0.03758582076754429
2023-09-19,0.021334285447968972
2023-09-20,0.03791802627719717
2023-09-21,0.025507597762612397
2023-09-22,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-23,0.0011391193454212128
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.023229901194838497
2023-10-27,0.004261268949118468
2023-10-30,0.05032072116236077
2023-10-31,0.07811343662371531
2023-11-01,0.06685052919270033
2023-11-02,0.09099298323835388
2023-11-03,0.1670118750403872
2023-11-06,0.1586906071410738
2023-11-07,0.15560583593530966
2023-11-08,0.0868522638433319
2023-11-09,0.08526555895766082
2023-11-10,0.0892083415968736
2023-11-13,0.08074454607813447
2023-11-14,0.0747579586341956
2023-11-15,0.1261762812277288
2023-11-16,0.1083841196785556
2023-11-17,0.10700418817570179
2023-11-20,0.10625046622536283
2023-11-21,0.10778180988874217
2023-11-22,0.07694158816491478
2023-11-24,0.08992384766357461
2023-11-27,0.08122683664050925
2023-11-28,0.07329875100086367
2023-11-29,0.05839203457001114
2023-11-30,0.058541250027227286
2023-12-01,0.04344779027580861
2023-12-04,0.05548816138823933
2023-12-05,0.0374778968051884
2023-12-06,0.035738261614331905
2023-12-07,0.03059998875019027
2023-12-08,0.035268107261168
2023-12-11,0.03735643642991231
2023-12-12,0.025897196691852285
2023-12-13,0.017542120491711787
2023-12-14,0.02852863014294151
2023-12-15,0.04192600714116866
2023-12-18,0.04032367739205565
2023-12-19,0.05394869349515798
2023-12-20,0.045806700593498596
2023-12-21,0.030700756990001746
2023-12-22,0.038626820550664416
2023-12-26,0.017940465228892272
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.07613979588112456
2024-02-12,0.0915716165663362
2024-02-13,0.09179575727428113
2024-02-14,0.1302316763173629
2024-02-15,0.14911477809141468
2024-02-16,0.15043732264488666
2024-02-20,0.13271732624813434
2024-02-21,0.14474560803011577
2024-02-22,0.12446389718484674
2024-02-23,0.138400728326056
2024-02-26,0.13519297701576546
2024-02-27,0.12920583296096017
2024-02-28,0.12025202259908224
2024-02-29,0.12959005182636876
2024-03-01,0.12050432852832438
2024-03-04,0.12325440381658465
2024-03-05,0.12394844327396097
2024-03-06,0.1332470859986896
2024-03-07,0.11995574495142565
2024-03-08,0.1514531419602468
2024-03-11,0.15478407836968833
2024-03-12,0.15077797466085965
2024-03-13,0.17292627674728406
2024-03-14,0.17203976532989065
2024-03-15,0.16933079800847753
2024-03-18,0.16039005339067935
2024-03-19,0.15515854282902705
2024-03-20,0.1367188665730801
2024-03-21,0.14286580195400705
2024-03-22,0.14595781195048796
2024-03-25,0.17258132832776574
2024-03-26,0.173831161939663
2024-03-27,0.17697104614855896
2024-03-28,0.19860259996352392
2024-04-01,0.17679663465119028
2024-04-02,0.18613044170714343
2024-04-03,0.18944045515677366
2024-04-04,0.18728656318756254
2024-04-05,0.17582078327855444
2024-04-08,0.17828971424649995
2024-04-09,0.17815331386380276
