,CFLT,CPER,CRM,DE,DECK,MOH,PLTR,SBUX,XBI
CFLT,1.0,0.17425025604630764,0.34849891785952203,0.15077229508696088,0.2540992830499431,0.02380540710697412,0.26166503647996703,0.16701950136831717,0.31253528428208766
CPER,0.17425025604630764,1.0,0.1401119786636081,0.20875918423843098,0.1463785273841492,0.004396222734408845,0.12017694842567886,0.17979518778808795,0.199008121181938
CRM,0.34849891785952203,0.1401119786636081,1.0,0.2190300056518352,0.3156248372580931,0.10556489070466715,0.31126579319217085,0.23396015463129397,0.3239194595459881
DE,0.15077229508696088,0.20875918423843098,0.2190300056518352,1.0,0.20856032151304482,0.13191244259762816,0.1865490842986153,0.29277016451032645,0.3371293443709282
DECK,0.2540992830499431,0.1463785273841492,0.3156248372580931,0.20856032151304482,1.0,0.04815984557469814,0.22646757403969667,0.24637493203769117,0.2526150151519985
MOH,0.02380540710697412,0.004396222734408845,0.10556489070466715,0.13191244259762816,0.04815984557469814,1.0,-0.04531406973737677,0.10149795177695271,0.12177402476549934
PLTR,0.26166503647996703,0.12017694842567886,0.31126579319217085,0.1865490842986153,0.22646757403969667,-0.04531406973737677,1.0,0.2418555179382331,0.332436596304756
SBUX,0.16701950136831717,0.17979518778808795,0.23396015463129397,0.29277016451032645,0.24637493203769117,0.10149795177695271,0.2418555179382331,1.0,0.20829556415310543
XBI,0.31253528428208766,0.199008121181938,0.3239194595459881,0.3371293443709282,0.2526150151519985,0.12177402476549934,0.332436596304756,0.20829556415310543,1.0
