Date,CFLT,CPER,CRM,DE,DECK,MOH,PLTR,SBUX,XBI
2023-01-03,21.329999923706055,22.790000915527344,133.6092529296875,409.69805908203125,64.87166595458984,318.9200134277344,6.389999866485596,94.43570709228516,81.3861312866211
2023-01-04,20.5,22.65999984741211,138.37745666503906,408.9159240722656,64.98999786376953,313.5299987792969,6.579999923706055,97.8354721069336,83.0931167602539
2023-01-05,17.924999237060547,23.18000030517578,135.1556854248047,400.4668884277344,65.84666442871094,298.5400085449219,6.320000171661377,97.80738830566406,82.3743896484375
2023-01-06,18.190000534057617,23.790000915527344,139.28945922851562,411.8030700683594,66.26166534423828,301.70001220703125,6.400000095367432,99.924072265625,83.01326751708984
2023-01-09,19.3799991607666,24.290000915527344,145.82223510742188,413.47357177734375,67.64167022705078,296.3999938964844,6.5,98.09774017333984,81.12660217285156
2023-01-10,20.530000686645508,24.690000534057617,146.15928649902344,422.3861389160156,67.66666412353516,292.0,6.699999809265137,99.27783203125,83.4325180053711
2023-01-11,20.84000015258789,25.34000015258789,143.64132690429688,418.5719909667969,68.41000366210938,302.760009765625,6.980000019073486,99.55880737304688,84.2311019897461
2023-01-12,20.190000534057617,25.25,148.30052185058594,421.0922546386719,69.45333099365234,299.1499938964844,7.010000228881836,99.13734436035156,87.7648696899414
2023-01-13,20.40999984741211,25.549999237060547,148.21128845214844,424.5105285644531,70.15333557128906,300.25,6.960000038146973,100.42984008789062,87.72492980957031
2023-01-17,21.3799991607666,25.670000076293945,147.1802978515625,423.1296691894531,70.0,299.32000732421875,7.070000171661377,99.98026275634766,86.70674133300781
2023-01-18,21.239999771118164,25.56999969482422,144.18653869628906,411.3395690917969,70.0566635131836,295.20001220703125,6.900000095367432,98.34124755859375,85.6286392211914
2023-01-19,20.200000762939453,25.770000457763672,145.13821411132812,394.5476379394531,69.48999786376953,298.07000732421875,6.730000019073486,97.64816284179688,84.7402114868164
2023-01-20,21.450000762939453,25.93000030517578,149.93617248535156,396.4788513183594,69.66666412353516,297.45001220703125,7.019999980926514,98.37871551513672,86.83650970458984
2023-01-23,23.3799991607666,25.790000915527344,154.51605224609375,395.2621765136719,70.37999725341797,297.2699890136719,7.380000114440918,99.4745101928711,87.0062026977539
2023-01-24,23.200000762939453,25.84000015258789,153.5148162841797,402.34014892578125,70.4566650390625,296.2099914550781,7.019999980926514,99.87723541259766,88.66327667236328
2023-01-25,22.90999984741211,25.8799991607666,154.81344604492188,399.41436767578125,70.09166717529297,297.2200012207031,7.21999979019165,100.19568634033203,88.74312591552734
2023-01-26,22.260000228881836,25.959999084472656,163.6559600830078,406.71435546875,70.16999816894531,298.3500061035156,7.239999771118164,101.86280059814453,88.43368530273438
2023-01-27,23.489999771118164,25.6200008392334,163.0908966064453,403.7982177734375,71.08499908447266,300.4100036621094,7.550000190734863,102.10630798339844,89.23226928710938
2023-01-30,23.030000686645508,25.3700008392334,163.3189239501953,406.135009765625,70.05833435058594,302.69000244140625,7.369999885559082,101.525634765625,86.94630432128906
2023-01-31,23.100000381469727,25.639999389648438,166.5109405517578,408.2979431152344,71.24666595458984,311.8299865722656,7.78000020980835,102.21869659423828,88.74312591552734
2023-02-01,24.690000534057617,25.440000534057617,170.32748413085938,412.30517578125,71.39833068847656,311.75,8.199999809265137,103.0147933959961,89.58164978027344
2023-02-02,27.079999923706055,24.81999969482422,173.12298583984375,392.568115234375,70.22166442871094,304.3900146484375,8.989999771118164,102.2280502319336,91.80772399902344
2023-02-03,25.360000610351562,24.559999465942383,169.55426025390625,392.09503173828125,69.05999755859375,301.07000732421875,8.40999984741211,97.6856460571289,90.23049926757812
2023-02-06,24.639999389648438,24.530000686645508,167.58157348632812,396.1216125488281,69.37000274658203,299.04998779296875,8.3100004196167,98.35997772216797,89.54171752929688
2023-02-07,25.670000076293945,24.739999771118164,169.7921905517578,395.43597412109375,69.60166931152344,302.7699890136719,8.329999923706055,100.05519104003906,90.16062927246094
2023-02-08,26.020000457763672,24.56999969482422,168.15652465820312,393.6689453125,69.12833404541016,307.1700134277344,8.220000267028809,99.55880737304688,87.0361557006836
2023-02-09,25.479999542236328,24.75,172.15151977539062,393.9779357910156,70.13333129882812,301.3299865722656,7.949999809265137,99.82235717773438,85.93809509277344
2023-02-10,25.200000762939453,24.420000076293945,165.57911682128906,403.4216003417969,69.08833312988281,304.30999755859375,7.510000228881836,100.80128479003906,85.46893310546875
2023-02-13,26.799999237060547,24.719999313354492,169.5939178466797,401.04620361328125,70.19999694824219,299.3800048828125,7.610000133514404,102.1473159790039,85.40902709960938
2023-02-14,28.270000457763672,24.899999618530273,168.48367309570312,395.2332763671875,70.55500030517578,297.9100036621094,9.220000267028809,101.63902282714844,85.72846221923828
2023-02-15,29.290000915527344,24.520000457763672,169.61375427246094,395.9381103515625,69.24833679199219,293.9200134277344,10.109999656677246,102.59912872314453,85.90814971923828
2023-02-16,26.760000228881836,25.010000228881836,166.6497344970703,389.10162353515625,67.83499908447266,292.9700012207031,9.710000038146973,101.224853515625,84.62042236328125
2023-02-17,25.360000610351562,25.059999465942383,163.73526000976562,418.4078369140625,67.5633316040039,296.07000732421875,9.199999809265137,100.8106918334961,86.64684295654297
2023-02-21,24.440000534057617,25.549999237060547,160.21609497070312,412.47906494140625,66.58000183105469,292.6700134277344,8.470000267028809,98.62693786621094,82.62395477294922
2023-02-22,24.530000686645508,25.31999969482422,161.9409942626953,411.7451477050781,67.10166931152344,294.1499938964844,8.359999656677246,98.6175308227539,83.48243713378906
