,Mkt-RF,SMB,HML,RMW,CMA,Mom
2023-06-28,0.9108585836184644,-0.06141455177777695,0.11314177684079653,-0.8064663958577636,-0.40709641426658943,0.03857622141101991
2023-06-29,0.9148646776582066,-0.06011511775997117,0.11059231966492318,-0.8315722971139612,-0.3806885935265435,0.03009207283378084
2023-06-30,0.9022900858688339,-0.06280648228089789,0.12151780173185447,-0.8315146330888115,-0.4000760905188464,0.036246656762283974
2023-07-03,0.8885080128221547,-0.06597212961626804,0.13026106803637705,-0.8435482702888437,-0.42009439830078454,0.03804091306222875
2023-07-05,0.8975126320827977,-0.06297061528305069,0.12228650215936389,-0.8432960599863967,-0.4083105407279501,0.04728433355100384
2023-07-06,0.8947161612873294,-0.07598155520656136,0.1299235476688601,-0.8435220963830306,-0.4139534114564178,0.046486180839726686
2023-07-07,0.8970580769598826,-0.0788185798468854,0.13270083428465226,-0.8435457545604842,-0.41944684346006805,0.04350581391089535
2023-07-10,0.8965657344696187,-0.050040921562794854,0.1260836931634783,-0.873288281911934,-0.4193146359747393,0.05570318171229873
2023-07-11,0.9238308027227025,-0.0025072814887636963,0.08520733303227535,-0.9379829838437005,-0.3275187045755891,0.07673905941471752
2023-07-12,0.9256535424317407,-0.006236543778134096,0.08623054607686573,-0.9461882870750953,-0.318682021750893,0.07282875033123959
2023-07-13,0.9309929133391257,-0.010907808803266944,0.06950327549779256,-0.9386681039380931,-0.28540665354001693,0.06376538388692687
2023-07-14,0.9278003711764118,-0.008356099319175442,0.05954961808918083,-0.9349761543421882,-0.2612212163213531,0.05485017196578719
2023-07-17,0.9288573952388679,-0.006806288966413471,0.05187136318394195,-0.9249483940185421,-0.2659070465094713,0.05723657650102816
2023-07-18,0.9280180843969879,-0.0021292126894021657,0.05135150355329582,-0.9254350754620968,-0.2653120890540346,0.06270129799660083
2023-07-19,0.9279923896225939,-0.0014667502676184996,0.06331647104754148,-0.9219508474214568,-0.28203785447711033,0.06771136950807871
2023-07-20,0.9213184002058266,-0.021238257548475414,0.0872143440904325,-0.9209298749238108,-0.2786588385599543,0.04003090430135431
2023-07-21,0.9262916168437804,-0.04200451010141762,0.10113938384570284,-0.9292411843773012,-0.29350587023402064,0.03474619859584055
2023-07-24,0.925188800655719,-0.03559160862486796,0.10338853405236559,-0.9245970508743329,-0.3054877301526296,0.04093863739254518
2023-07-25,0.9333064140502236,-0.0427768609196674,0.10175097029207111,-0.9243615371105087,-0.3096727654294133,0.03614141106244192
2023-07-26,0.9354716744503466,-0.03266682286679534,0.09297648235735975,-0.9060109179095863,-0.32242348322992287,0.047848386528432214
2023-07-27,0.9348429438420269,-0.04224350485315681,0.10254998149674739,-0.8927243933272241,-0.38684158658173134,0.0884650597608851
2023-07-28,0.9379313783621686,-0.012910779942252343,0.06679897310299371,-0.8576402047665915,-0.3708421188876705,0.0557516530071296
2023-07-31,0.9264209249050395,0.006533313677460795,0.06252379945489767,-0.8260379387480512,-0.36369468314562614,0.05792372780349747
2023-08-01,0.9284891416925426,0.020162131735661587,0.05777518839416379,-0.8530675211251642,-0.3480221685968591,0.06575058964313862
2023-08-02,0.9359852165863717,0.022254604627467534,0.044640475895624726,-0.8532777888106036,-0.3229228878600678,0.05997046276739271
2023-08-03,0.9314643815244061,0.025691180834512217,0.041958792353806285,-0.8449833189594487,-0.318935510632436,0.05484357666109278
2023-08-04,0.918552757748514,0.040757027434740245,0.05168982382076187,-0.819876663307148,-0.36700588345081253,0.054733823516260154
2023-08-07,0.9595095551057212,0.04711708420298724,0.024646404174291286,-0.8176566509494961,-0.2903646785164538,0.07663447991837294
2023-08-08,0.9492803691073404,0.042146517837519326,0.036208245888052215,-0.8354801371572858,-0.2998055427953123,0.08044340436432697
2023-08-09,0.9792432356470218,0.054689202135499354,0.015217130186765404,-0.8131731407546896,-0.23142192284834917,0.09215666415784496
2023-08-10,0.9773195234805527,0.053163296518452474,0.017605409291339483,-0.837392700559576,-0.23919158699872065,0.08952339942262741
2023-08-11,0.9766871780625495,0.052545263487400296,0.013174486779067254,-0.8357619706663337,-0.23050212114055282,0.08778751331272727
