Date,0
2023-01-04,
2023-01-05,
2023-01-06,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,
2023-01-13,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-23,
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-21,
2023-02-22,
2023-02-23,
2023-02-24,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,
2023-03-06,
2023-03-07,
2023-03-08,
2023-03-09,
2023-03-10,
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-20,
2023-03-21,
2023-03-22,
2023-03-23,
2023-03-24,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,0.2355786300646805
2023-03-31,0.23858859313770098
2023-04-03,0.23189313411001303
2023-04-04,0.23103911954805614
2023-04-05,0.23160944076810192
2023-04-06,0.2294955394324888
2023-04-10,0.22885437120604898
2023-04-11,0.2290091961236113
2023-04-12,0.22888239458585055
2023-04-13,0.23231194468537375
2023-04-14,0.23022871881571147
2023-04-17,0.22842521645432415
2023-04-18,0.22521109761149863
2023-04-19,0.22227548392780982
2023-04-20,0.22507240558168826
2023-04-21,0.22560919313932754
2023-04-24,0.225852233258528
2023-04-25,0.23139072799638252
2023-04-26,0.23104982123231976
2023-04-27,0.22944542406363072
2023-04-28,0.22628895309284006
2023-05-01,0.22532870108467626
2023-05-02,0.2212455677882346
2023-05-03,0.22218500721991527
2023-05-04,0.22224501004146224
2023-05-05,0.2236249903517209
2023-05-08,0.22372825347319578
2023-05-09,0.22914720161522842
2023-05-10,0.2283922832968587
2023-05-11,0.22192969353301645
2023-05-12,0.22122124787309638
2023-05-15,0.21716735995821515
2023-05-16,0.2190355066138246
2023-05-17,0.22122695457873692
2023-05-18,0.22346309554009505
2023-05-19,0.22378052333917084
2023-05-22,0.22040897637165324
2023-05-23,0.22033582437336802
2023-05-24,0.22234476855463892
2023-05-25,0.22230441181491475
2023-05-26,0.22248663303582097
2023-05-30,0.22082953814058834
2023-05-31,0.22062733640617946
2023-06-01,0.21899797937895782
2023-06-02,0.22233862753700703
2023-06-05,0.213859829916984
2023-06-06,0.20200500785874903
2023-06-07,0.20354871709918854
2023-06-08,0.20315612048995885
2023-06-09,0.19989644835052137
2023-06-12,0.1998874819947018
2023-06-13,0.19661002370088776
2023-06-14,0.1981144503053289
2023-06-15,0.19429834809716917
2023-06-16,0.18832803355585465
2023-06-20,0.18895093767792134
2023-06-21,0.18861079093995786
2023-06-22,0.18935602758581982
2023-06-23,0.19292709298033686
2023-06-26,0.19115878596490812
2023-06-27,0.19181790391522918
2023-06-28,0.1891831945243446
2023-06-29,0.19010547709257766
2023-06-30,0.18962642070113814
2023-07-03,0.1871426165037083
2023-07-05,0.18696976235787272
2023-07-06,0.18963686842075275
2023-07-07,0.18944613332877808
2023-07-10,0.1954906218364907
2023-07-11,0.19298706030635043
2023-07-12,0.19283495372593815
2023-07-13,0.19286408043314765
2023-07-14,0.19292808739098743
2023-07-17,0.19249092694238473
2023-07-18,0.1884167620489896
2023-07-19,0.1890254992174213
2023-07-20,0.19167345902418007
2023-07-21,0.18173325303070814
2023-07-24,0.18218563056457487
2023-07-25,0.18143229519345078
2023-07-26,0.18476006191116784
2023-07-27,0.1885205298795686
2023-07-28,0.18497890066214623
2023-07-31,0.1853553806808352
2023-08-01,0.18634286713039694
2023-08-02,0.1902146268548949
2023-08-03,0.19173892556964545
2023-08-04,0.1871063117346692
2023-08-07,0.18657320791337584
2023-08-08,0.18743605009944597
2023-08-09,0.1906299222017587
2023-08-10,0.19047354455154888
2023-08-11,0.18779770358561823
2023-08-14,0.17849204968000815
2023-08-15,0.17812084575342624
2023-08-16,0.17798316784081636
2023-08-17,0.18431549737060543
2023-08-18,0.18434055056268575
2023-08-21,0.18221725922704174
2023-08-22,0.18237865954413382
2023-08-23,0.17991624650768231
2023-08-24,0.185350494483897
2023-08-25,0.18594339237682384
2023-08-28,0.18604373011695477
2023-08-29,0.18419401936547972
2023-08-30,0.18405428003382107
2023-08-31,0.1843844601838619
2023-09-01,0.1826589434670611
2023-09-05,0.18238876930954248
2023-09-06,0.18238069862159648
2023-09-07,0.18080001230357612
2023-09-08,0.18018272190769977
2023-09-11,0.1828981981662456
2023-09-12,0.1805556507901657
2023-09-13,0.18024271401232175
2023-09-14,0.1802474834631052
2023-09-15,0.1829990788049758
2023-09-18,0.18272757043604573
2023-09-19,0.18105814783378987
2023-09-20,0.1820035423031997
2023-09-21,0.18815518667470085
2023-09-22,0.18640549083104888
2023-09-25,0.18587757358303825
2023-09-26,0.18542833376295506
2023-09-27,0.1869449523176522
2023-09-28,0.18815629480363116
2023-09-29,0.18607681550913538
2023-10-02,0.18632742132962343
2023-10-03,0.18351241959960904
2023-10-04,0.18393570908081178
2023-10-05,0.18370077723272762
2023-10-06,0.18775566049350226
2023-10-09,0.18989993722448134
2023-10-10,0.18968518719577582
2023-10-11,0.18867819103080563
2023-10-12,0.18807629685552057
2023-10-13,0.1861506300028071
2023-10-16,0.1898407532823592
2023-10-17,0.19123015298684468
2023-10-18,0.19295803718011825
2023-10-19,0.1913110752339359
2023-10-20,0.19269829313917441
2023-10-23,0.18975212508153297
2023-10-24,0.18620683249574593
2023-10-25,0.19226616489559367
