Factor,Beta,t-stat
Mkt-RF,0.9487779531512849,30.441453737480067
SMB,0.14837831234260868,2.855162194096604
HML,-0.14205639466847753,-2.980477671660167
RMW,-0.570825862221231,-8.64954652874587
CMA,-0.15718473094269592,-2.504001322473441
Mom,-0.08716575926663152,-2.4981011864333893
