,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CFLT,0.6889014730157632,-0.669650711516495,-0.23791318298786268,0.07094718210766145,-0.04782123828876477,-0.1056541622707971,-0.016225956143325372,-0.013647074170308601,-0.038043430851318956
CPER,0.07540281581395024,-0.0155574444455183,0.09358837104945707,-0.04848080218983397,0.3148807212584246,0.01502413816949395,0.5283789433342905,0.7771250980920805,0.02190640822550255
CRM,0.20148889164040212,-0.00625356564443438,0.23175736615708958,-0.01618916729899138,0.13151617838733293,0.8338502645225506,-0.40068636517456024,0.1568889295145177,-0.08731028171640903
DE,0.0929802011381892,0.022584696082161525,0.2195777673069223,0.03183958746275309,0.368068192023154,0.06147935507092843,0.39767860215623774,-0.4347198619451049,-0.6747095111321951
DECK,0.2231994920620611,-0.0043885485059366545,0.6291374299757879,-0.6059013967136034,-0.39925664647350556,-0.16269201758930577,0.03528663987761757,0.005866299178640213,-0.00884286654650505
MOH,0.012366017316306125,-0.059797462457791266,0.5387903448507266,0.7789294117476349,-0.27763962013037474,-0.11325290623631364,0.000562387238973524,0.09593634942172974,-0.011454346449101184
PLTR,0.6146004200518533,0.7375936479028634,-0.19608744392144511,0.12155548410342172,-0.1248758833915102,-0.07667022328315687,0.0033437287241296024,0.03743257735319995,-0.04594806966550217
SBUX,0.1325791861545439,0.052531910775753095,0.289457182201219,-0.014769173418778345,0.6809700209816233,-0.42741277886703327,-0.4694495814250361,-0.0008536553340514395,0.16992374082328862
XBI,0.158758420298003,0.0194352246346258,0.1561024471586169,0.04998865349533726,0.17317268041919756,0.24833561663095544,0.4245174006837079,-0.41431234778488996,0.7099451357671047
