PC,ExplainedVariance,Cumulative
PC1,0.40093644344368873,0.40093644344368873
PC2,0.20804539307582753,0.6089818365195163
PC3,0.10813387219847624,0.7171157087179926
PC4,0.08516827900934235,0.8022839877273349
PC5,0.0557575588360383,0.8580415465633732
PC6,0.04425485514656783,0.902296401709941
PC7,0.039555589792765626,0.9418519915027066
PC8,0.032212596395147994,0.9740645878978546
PC9,0.025935412102145408,1.0
